genome_name	genome	taxonomy	K03639	K20967	K03637	K03635	K21142	K03831	K03638	K15376	K03750	K07141	K13818	K03752	K03636	K21232	K04487	K21028	K11996	K21029	K21147	K15631	K20625	K08356	K08351	K16964	K07306	K10700	K22341	K22516	K22015	K05299	K00123	K08348	K18558	K00201	K02567	K00367	K00370	K00372	K03934	K18361	K08352	K23302	K24713	K17050	K21307	K17219	K07812	K07811	K08357	K07309	K07147	K10534	K05301	K00387	K17225	K03738	K11389	K19515	K00157	K09842	K12528	K03520	K11817	K22417	K04108	K24716	K16877	K19187	K18020	K19820	K20171	K07303	K07469	K20447	K20448	K13482	K00106	K11177	K00087	K18030	K02588	K02586	K02591	K22896	K22897	K22898	K22899	K00531	K02587	K02592	K02585	K00947	K15790	K02018	K02017	K02020	K15496	K15497	K15495	K05773	K06857	K05772
Archaea_Crenarchaeota_Thermoprotei_Fervidicoccales_Fervidicoccaceae_Fervidicoccus_fontis_Kam940	GCA_000258425.1	Crenarchaeota	9.500000000000001e-58		2.9e-51				1.8e-35		1.7e-92				8e-07					6.4e-83										3.5e-225																												1.3e-192																							3.1000000000000004e-37																		1.8e-71	3.7e-89	2.2999999999999998e-60			
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome	GCA_000213215.1	Crenarchaeota	2.2e-82		2.7e-61		1.1999999999999999e-61		4e-56		9.400000000000001e-80	6.6e-54		7.3e-28						8.7e-74				0.0						3.2000000000000004e-213			0.0										6.9e-36				0.0						2.7000000000000003e-35											5.5e-173																																		1.1e-12	8.8e-60	1.1e-53	7e-66			
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_sedula_DSM_5348	GCA_000016605.1	Crenarchaeota	1.8e-82		4.2e-59		4.4e-64		2e-58		8.7e-113	2.6e-51		1.2000000000000001e-29						4.2e-70										6.5e-207			0.0					2.2e-203					6.6e-34				7.1e-178						1.1e-36				1.8e-28							5.3e-182							0.0																												7.3e-65	9.999999999999999e-62	5.9e-73			
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Sulfolobus_solfataricus_P2	GCA_000007005.1	Crenarchaeota	1e-83		2.1e-56		8e-62		2.5e-59		7e-105	6.499999999999999e-52		3.9000000000000003e-29						1.4999999999999998e-67										1.5000000000000003e-213			0.0										3.9e-24				6.6e-181	0.0					5.3e-36		8e-31									1.3e-165							0.0																												7.899999999999999e-68	3.1e-59	1.9e-76			
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_AZ1	GCA_000565255.1	Crenarchaeota	4.4e-85		7.5e-63		1.6e-61		7.6e-61		2.4e-80	1.0999999999999999e-48		4.9e-25						3.2e-72										9.9e-213													1.3e-177				6.2e-178	0.0					1.5e-36											1.1e-239					6.6e-221																													2.3e-13	8.3e-65	1.3999999999999998e-60	1.6e-68			
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermofilaceae_Thermofilum_pendens_Hrk_5	GCA_000015225.1	Crenarchaeota	8.000000000000001e-88		2.7e-65		1.5e-35		2.2000000000000003e-59		2.9999999999999996e-89			5e-38	5.1e-07					3.4e-97										0.0			6.500000000000001e-208										7.500000000000001e-185															4.1000000000000006e-179																																								9.2e-07				9.800000000000001e-77	2.1000000000000002e-73	3e-111
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Caldivirga_maquilingensis_IC_167	GCA_000018305.1	Crenarchaeota	4.8e-81		7.100000000000001e-72				3.5e-64		1.6e-81				2.6e-14					3.2000000000000003e-75																																	8.099999999999999e-30		3.8e-39			5.7e-191	2.2e-253																																								6.1e-83	2.4e-106	2e-62			
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_neutrophilus_V24Sta	GCA_000019805.1	Crenarchaeota	4.7e-74		9.8e-21		3.7e-76		2.8e-65		1.5e-143	4.1e-47		1.2000000000000002e-37	6.3e-19					3.8e-78													2e-211										2.8e-177										2.2e-28					4.6e-204	6.700000000000001e-252					2.7e-269																																			2.3000000000000002e-33	4.9e-58	3.2e-116	2.9000000000000003e-58	9.799999999999999e-48	1.9e-96
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_uzoniensis_768_20_chromosome	GCA_000193375.1	Crenarchaeota	4.5e-79		7.000000000000001e-26		9.500000000000001e-73		2.5e-68		1.6999999999999999e-84	4.5e-55		7.9e-22	7.8e-08					2.3e-87													1.3e-205										1.8e-84				0.0						1.8000000000000003e-27			1.8e-39		1.7000000000000002e-185	4.4e-253					2.1e-263																																			1e-59	3.2e-98	3.9e-63			
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Vulcanisaeta_distributa_DSM_14429_chromosome	GCA_000148385.1	Crenarchaeota	1.1e-84		1.4e-69				2.5000000000000002e-70		2.6e-125	6.7e-63		1.6e-36	1.2e-12					3.7000000000000003e-88										2.9e-221									0.0				6.599999999999999e-42				0.0						1.2e-32			4.100000000000001e-37		7e-182	1e-256					2.7e-198					6.3e-234																													3e-09	2.1e-80	5.5999999999999996e-114	1.7e-66			
Archaea_DPANN_Diapherotrites_AR10_gwc2_scaffold_150	GCA_000830275.1	DPANN																																																																																																						
Archaea_DPANN_Woesearchaeota_AR15_gwa2_scaffold_65	GCA_000830295.1	DPANN																		1.4e-55																																																																																				
Archaea_DPANN_Woesearchaeota_AR18_gwa2_scaffold_1772	GCA_000806155.1	DPANN																																																			3.4000000000000003e-29																																																			
Archaea_DPANN_Woesearchaeota_AR20_gwa2_scaffold_32	GCA_000830315.1	DPANN																		2e-75																																																																																				
Archaea_Euryarchaeota_Altiarchaeales_Altiarchaeum_hamiconexum	GCA_001742785.1	Euryarchaeota	2e-78		6.0999999999999994e-55	1.3e-26								8e-33			1.3999999999999999e-168																			2.7e-151							1.6e-187												7.4e-09																																																	
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Archaeoglobus_fulgidus_DSM_8774	GCA_000008665.1	Euryarchaeota	3.1e-92		2.7000000000000002e-64		2.5999999999999997e-40		1.7e-61		3e-109			2.5999999999999997e-42	1.7e-08		7.5e-162		1.7e-106																	1e-110			3.3e-153				1.1e-177								5.3e-246		1.3e-17					2.3e-141																																			9e-06						5.3e-94	1.9e-97	6.4e-107			
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Ferroglobus_placidus_DSM_10642_chromosome	GCA_000025505.1	Euryarchaeota	6e-96		1.5e-62	3.8e-41			8e-59		8.5e-119			3.1999999999999996e-42	3.1000000000000002e-21		4.1000000000000004e-163		1.1e-113											9.999999999999999e-192		2.9e-41	4e-262			1.3e-162			8.4e-157				1.7e-154										3.7e-34					3.4e-182																																			1.2e-07			4.9e-56		1.1e-37		7.900000000000001e-105		7.300000000000001e-66	1.9e-77	1.4999999999999998e-104
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halalkalicoccus_jeotgali_B3_chromosome	GCA_000196895.1	Euryarchaeota	9.099999999999999e-89		7.7e-70	1.8e-43			7.2e-77		1.3e-87	8.300000000000001e-64		4.5999999999999995e-55	7.9e-21														0.0	0.0			3.1e-244							2e-220													8.300000000000001e-35			3.8000000000000004e-80		3.1e-149					1e-231	0.0																																			1.7000000000000002e-88	2.3e-107	1.9e-74	1.3e-83	2.0999999999999998e-94	1.8e-120
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloarcula_marismortui_ATCC_43049	GCA_000011085.1	Euryarchaeota	7e-86		5e-65	7.4e-39			2.3e-77		1.2000000000000001e-129	3.9999999999999995e-61		2.1e-49	1e-18												2.1e-187			1.4999999999999998e-263			0.0						1.2e-303	8.600000000000001e-212													3.4e-25		2.3999999999999997e-48			4.5e-204					9.400000000000001e-222																																				2.1e-76		7.7e-76	2.2e-85	6e-93	1.3000000000000001e-122
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacteriaceae_archaeon_G22	GCA_000495475.1	Euryarchaeota	1.9000000000000002e-85		2.1e-63	2.4e-45			1.7e-78		3.1e-123	2.4999999999999997e-55		3.7000000000000004e-35	8e-22																	6.3e-59	5.6e-158						0.0	6.3e-218													6.3e-33			8.100000000000001e-43								0.0																																			5.4e-88		1.2e-81			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacterium_sp._NRC_1	GCA_000069025.1	Euryarchaeota	2.5e-83		3.6999999999999997e-60	4.3999999999999995e-42			5.1e-74		2.1e-131			1.3e-45	1.4e-19												1.1e-178																										1.5e-32																																														1.1e-86		7e-79			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halococcus_saccharolyticus_DSM_5350	GCA_000336915.1	Euryarchaeota	2.9e-85		1.1e-66	5e-43			8.9e-71		2.3e-130	3.4e-63		3.2000000000000002e-43	2.2e-20															4.6e-182		8.7e-61	1.1999999999999999e-274						1.4999999999999998e-300														4e-28		2.9e-41	6.1e-76							1.1e-237	1.3e-209				0.0																															8.7e-88		1.5e-81			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloferax_mediterranei_R_4_ATCC_33500	GCA_000306765.2	Euryarchaeota	2.3e-85		4.1e-69	6.9e-44			1.1e-78		5.2e-131			9.6e-43	5.1e-18												6e-194												0.0	2.9000000000000004e-208													1.1000000000000001e-35				2.5e-10	9.100000000000001e-209																																									2e-80		8.4e-77	1.4e-81	2.8e-95	3e-97
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogeometricum_borinquense_DSM_11551_chromosome	GCA_000172995.2	Euryarchaeota	5e-89		2.9999999999999997e-67	1.2e-44			4.4e-78		1.7e-129			4.4e-55	1.6e-21																		0.0						0.0														5e-33			5.400000000000001e-35		1.1e-158																																									1.7e-87	4.9e-101	4.7999999999999997e-91	3.1999999999999995e-82	4.4e-93	8.900000000000001e-103
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogranum_salarium_B_1	GCA_000283335.1	Euryarchaeota	1.6e-86		2.5000000000000003e-66	5.1e-44			8.400000000000001e-79		2e-49	4.5e-61		3.2e-49	7.2e-19														0.0	2.9e-252			5.299999999999999e-255							1.5e-201													1.3e-27		5.799999999999999e-48			3.7e-159										0.0																															2.3e-83		1.7999999999999997e-61			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halomicrobium_mukohataei_DSM_12286	GCA_000023965.1	Euryarchaeota	1.9e-86		1.9e-60	1.4e-44			1.2e-64		3.1000000000000002e-124			1.2e-50	1.4e-19												1.3e-178												4.9e-301								5.5999999999999995e-171						1.5e-28		1.0999999999999999e-48																																												5.7e-86		4.6e-81			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halopiger_xanaduensis_SH_6	GCA_000217715.1	Euryarchaeota	5.7e-88		2.2999999999999997e-67	1.9e-41			6.4e-77		5.299999999999999e-137			6e-45	1.1e-22					1.3e-34										2.6e-303			8.8e-251						3.4e-176	6.6e-221													1.2000000000000002e-21				5.4e-06	3.5e-209																																									1.3e-90		1.1e-88	6.8e-87	6.6e-96	5.6000000000000005e-123
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloquadratum_walsbyi_HBSQ001_DSM_16790	GCA_000009185.1	Euryarchaeota	1.4e-87		1.7e-64	5.5e-41			6.9999999999999995e-74		9.700000000000001e-124	1.9e-55		4.2e-50	2.8e-13																	4.3e-59	1.5e-284							1.4e-215																												0.0																															4.8e-84	2.7e-104	3.3000000000000003e-85			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorhabdus_utahensis_DSM_12940	GCA_000023945.1	Euryarchaeota	5.3e-88		9.9e-60	1.6999999999999998e-42			6.3e-68		9.2e-114			2.5e-40	2e-19																	6.5e-113							6.099999999999999e-299																6.6e-45																																												1.7e-83		1.1e-87			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_lacusprofundi_ATCC_49239	GCA_000022205.1	Euryarchaeota	5.6999999999999995e-89		4.6999999999999994e-67	1.4000000000000001e-43			2.7e-82		7.5e-127			8.4e-49	8e-22						5.9e-11									1.2e-302									0.0	4.7999999999999995e-220													1.3e-21					5.5e-205																																									4.899999999999999e-89		2.7e-84	3e-83	2.0999999999999998e-94	2.3e-119
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halosarcina_pallida_JCM_14848	GCA_000337095.1	Euryarchaeota	9.9e-88		4.1e-64	2.5e-45			4.4000000000000004e-79		5.8e-126	4.3e-66		6.4e-51	4e-09					1.5e-27										1.4999999999999998e-188		1.2e-55							0.0	2.9000000000000003e-194													1.5e-27			3.2e-63								0.0																																			1.9000000000000002e-85		1.8e-76			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halostagnicola_larsenii_XH_48_DSM_176	GCA_000517625.1	Euryarchaeota	1.6000000000000001e-87		1.4999999999999998e-68	3.5000000000000004e-43			1.4000000000000001e-59		8.4e-80	1.6000000000000002e-56		8.1e-44	8.7e-17														0.0				0.0							1.1000000000000001e-217													1.2e-34					1.1e-207										0.0																																		7.399999999999999e-82	6.1e-93	1.5e-116
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloterrigena_turkmenica_DSM_5511	GCA_000025325.1	Euryarchaeota	1.9999999999999997e-89		1.1999999999999998e-67	2.4e-41			2.2e-66		1.6000000000000001e-87	4.9e-67		9.6e-47	3.8000000000000005e-21														0.0	5.5e-302		2.1e-57	0.0						6.2e-180	3.3e-220													7.7e-35		3.3e-43	2.5000000000000002e-73		2.3e-192					1.2e-238																																				1.9e-87		1.4e-85	6.7e-85	1.6e-96	8.4e-119
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halovivax_ruber_XH_70_DSM_18193	GCA_000328525.1	Euryarchaeota	2.9e-83		8.6e-62	2.5e-40			4.8e-76		5.1000000000000007e-132				2e-16																																						4.9e-35																																																			
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrialba_magadii_ATCC_43099_chromosome	GCA_000025625.1	Euryarchaeota	6.1e-88		6.2e-65	3.2999999999999996e-42			1.4e-73		4.7e-124				2.3e-19					2.2000000000000002e-29																																	1.1e-34					3.6e-205																																												1.6e-85	1.9e-94	2.3999999999999998e-115
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrinema_pellirubrum_157_JCM_10476	GCA_000230735.3	Euryarchaeota	2.6e-88		4.1e-67	7.1e-41			1.6e-60		1.5e-135			3.3e-51	1.4e-19															1.8000000000000002e-303									1.8000000000000001e-177	7.1e-219													1.9e-33		5.700000000000001e-43			4.7e-155																																									2.7e-91		1.6000000000000001e-80	2.9e-83	9.799999999999999e-89	4.1e-116
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronobacterium_gregoryi_SP2_DSM_3393	GCA_000230715.3	Euryarchaeota	4.4e-86		1.1e-68	7.7e-42			5.8e-61		1.1e-140			5.4e-46	1.7e-14												6.199999999999999e-189			4.6999999999999995e-254													2.5e-151										1.2e-33			8.7e-44		1.5000000000000002e-179																																									7.2e-90		6.6e-87	2.5e-85	2e-94	5.2e-114
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronococcus_occultus_SP4_DSM_3396	GCA_000328685.1	Euryarchaeota	4.2e-88		1.1e-68	5.4999999999999993e-42			1e-75		5e-136	7.3e-63		1.1e-47	5.6e-10														0.0	2.6e-303			7.2e-241						1.6e-181	4.1e-221													1e-34			2.2000000000000002e-70	1.7e-07	2.3000000000000003e-210					1.3e-248																																				1.4999999999999998e-91		3.6999999999999997e-90	1.8e-87	6.899999999999999e-94	5.1e-112
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronolimnobius_innermongolicus_JCM_12255	GCA_000337215.1	Euryarchaeota	1.3e-89		2.4e-68	2.0999999999999999e-41			3.8e-63		1.5e-138			3.1e-45	3.9e-19														0.0				9.399999999999999e-243							8.200000000000001e-218													1e-34			1.0999999999999999e-74		2.3e-161																																												1.3e-83	2.1e-93	3.9999999999999998e-115
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronomonas_pharaonis_Gabara_DSM_2160	GCA_000026045.1	Euryarchaeota	6.4e-83		3.9e-63	5.2e-43			3e-72		5.6e-137			4.6e-49	2.8e-09																		1.7999999999999998e-236						4.2e-16	1.8e-213													1.1e-32		1.2e-41		3.5e-06	5.8e-191																																									6.800000000000001e-85		2.8e-83	5.4e-80	4.9e-96	2.2e-118
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronorubrum_sulfidifaciens_JCM_14089	GCA_000337735.1	Euryarchaeota	6.9e-88		3.1999999999999996e-67	1.6e-41			8.8e-77		1.3e-132	7.200000000000001e-64		1.5e-50	2.9e-19															2.2e-294										6.3e-213													2.7e-33			2.9e-93		2.8e-166						0.0																																			2.6e-89		9.1e-86	2.9e-85	7.499999999999999e-94	1.7e-117
Archaea_Euryarchaeota_Halobacteria_Haloferacales_Haloferacaceae_Halohasta_litchfieldiae_tADL__Hlit_replicon_OLD_NAMEhalophilic_archaeon_sp._True_ADL	GCA_002788215.1	Euryarchaeota	1.9e-88		2.8e-65	2.5999999999999997e-40			1.1000000000000001e-70		9.5e-124	2e-59		7.7e-51	1.1e-19																									3.4000000000000004e-210													2.4e-35		7.6e-41								2.1e-228																																									
Archaea_Euryarchaeota_Halobacteria_Natrialbales_Natrialbaceae_Salinarchaeum_sp._Harcht_Bsk1	GCA_000403645.1	Euryarchaeota	5.8e-85		2.3e-61	2.7e-40			4.1e-78		2.1000000000000003e-123				2.1e-19																																						1.7e-28		3e-38																																																	
Archaea_Euryarchaeota_Halobacteria_halophilic_archaeon_sp._DL31__DL31_replicon_1_OLD_NAME_halophilic_archaeon_sp._DL31	GCA_000224475.1	Euryarchaeota	1.5e-87		9.9e-63	2.7e-41			7.7e-76		2.9e-121	5.900000000000001e-59		1.1e-50	1.7e-20					1e-35													0.0																				2.0000000000000002e-29			2.3e-44		6.3e-184										0.0																															7.8e-89	1.2e-102	1e-74			
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobacterium_sp._SWAN_1_chromosome	GCA_000214725.1	Euryarchaeota	1.6e-98		2.5e-60	1.2e-22		5.3e-10	4.8e-65		1.3e-130	4.6e-25		9.2e-46	1.6e-12		1.1e-191			3e-65										0.0						1.8e-158							2e-106										3e-32																														0.0	0.0	0.0						9.1e-186	4.8e-152	4.1e-17			5.3999999999999995e-68		3.5e-52	4.1e-99	4.5000000000000004e-117	1.7999999999999997e-89			
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_smithii_ATCC_35061	GCA_000016525.1	Euryarchaeota	1.6e-94		4.8e-63	2e-22			5.999999999999999e-60		7.3e-117	5.7e-23		2.3e-46			2.2e-176			1.5e-63										0.0						7.1e-154																																																									4.2e-124			9.8e-84	6.5e-98	1.1e-80						
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanosphaera_stadtmanae_DSM_3091	GCA_000012545.1	Euryarchaeota										2.6e-15					1.4e-175			4.8e-57										1.2e-33						1.2e-148																																																									2.3e-119											
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanothermobacter_thermautotrophicus_Delta_H	GCA_000008645.1	Euryarchaeota	1.6000000000000002e-97		6.5e-69	1.2000000000000002e-27			9.1e-65		2.1e-138	2.2e-30		7.199999999999999e-48						9.1e-66										7.7e-53		0.0				2.3000000000000002e-179							5.6e-92																																								0.0	0.0	0.0						4.3e-166	1e-139	2.4e-06			2.3e-63		1.7e-55		4.3e-110		3.2e-86		2.2e-109
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanothermaceae_Methanothermus_fervidus_DSM_2088_chromosome	GCA_000166095.1	Euryarchaeota	1.4e-98		6.5e-60	1.6e-16			1.0999999999999999e-62		1.1999999999999999e-126	9.2e-18		1.5999999999999999e-55																2.8e-66						1.1e-162																																																									4.2000000000000004e-122			6.6e-64		1.4e-58	2.9000000000000003e-99	5.3e-135	1.3000000000000001e-105			
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanocaldococcus_jannaschii_DSM_2661	GCA_000091665.1	Euryarchaeota	2.0999999999999997e-89		1.1e-63	9.2e-19			4.1e-58		2.3e-112			1.3e-35						2.2e-10										1.3e-114																													4.4e-261																																		6.7e-122						2.8e-86	1.6999999999999998e-104	4.999999999999999e-115			
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanotorris_igneus_Kol_5_chromosome	GCA_000214415.1	Euryarchaeota	1.1999999999999999e-89		4.4e-64	5.7e-53	1.3e-09		1.4e-55		4.3e-108			5e-43						1.1e-92										7e-125						3.4000000000000003e-166																							1e-258																								0.0	0.0	0.0						2.5e-127		2.0000000000000003e-124			2.3e-78		8e-41	1.4999999999999998e-94	1.7e-110	2.2e-115			
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanococcus_maripaludis_S2	GCA_000011585.1	Euryarchaeota	3.9999999999999995e-89		1.4999999999999999e-61	2.5999999999999998e-46	2.5e-08		4e-49		3.1e-92			8.8e-39						5.2e-07										0.0						1.2000000000000001e-154																							1.5e-259																								0.0	0.0	0.0						1.1e-184	5.8e-153	4.6e-124			1.6e-78		1.1e-36	2.4e-94	2.6e-115	7e-103			
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanothermococcus_okinawensis_IH1_chromosome	GCA_000179575.2	Euryarchaeota	3.7e-86		4.6000000000000004e-66	1.5e-17			7.3e-53		2.3e-119			1.1999999999999998e-38																9.2e-105						6.5e-183																							7e-267																								0.0	0.0	0.0								1.9e-06			2.5e-80		4.5999999999999995e-48	7.199999999999999e-94	6.3e-119	5.0000000000000006e-110			
