genome_name	genome	taxonomy	moco_synthesis	dmso_red_fam_a	so_fam_a	aor_fam	xo_fam_c	mo_n_fix	alt_n_fix	femoco_synthesis	mo_storage	mo_traffick	mo_transport	mo_w_transport	w_transport
Archaea_Crenarchaeota_Thermoprotei_Fervidicoccales_Fervidicoccaceae_Fervidicoccus_fontis_Kam940	GCA_000258425.1	Crenarchaeota	7	1	0	4	1	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_hospitalis_W1_chromosome	GCA_000213215.1	Crenarchaeota	10	6	1	0	3	0	0	0	0	0	1	3	0
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Metallosphaera_sedula_DSM_5348	GCA_000016605.1	Crenarchaeota	10	5	2	0	7	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Sulfolobus_solfataricus_P2	GCA_000007005.1	Crenarchaeota	10	5	2	0	8	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobales_archaeon_AZ1	GCA_000565255.1	Crenarchaeota	10	5	1	0	6	0	0	0	0	0	1	3	0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermofilaceae_Thermofilum_pendens_Hrk_5	GCA_000015225.1	Crenarchaeota	12	4	0	4	0	0	0	0	0	0	0	0	3
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Caldivirga_maquilingensis_IC_167	GCA_000018305.1	Crenarchaeota	9	0	2	7	0	0	0	0	0	0	0	3	0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_neutrophilus_V24Sta	GCA_000019805.1	Crenarchaeota	13	4	1	3	1	0	0	0	0	0	0	3	3
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Thermoproteus_uzoniensis_768_20_chromosome	GCA_000193375.1	Crenarchaeota	13	4	2	3	1	0	0	0	0	0	0	5	0
Archaea_Crenarchaeota_Thermoprotei_Thermoproteales_Thermoproteaceae_Vulcanisaeta_distributa_DSM_14429_chromosome	GCA_000148385.1	Crenarchaeota	15	4	2	6	3	0	0	0	0	0	0	5	0
Archaea_DPANN_Diapherotrites_AR10_gwc2_scaffold_150	GCA_000830275.1	DPANN	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_DPANN_Woesearchaeota_AR15_gwa2_scaffold_65	GCA_000830295.1	DPANN	3	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_DPANN_Woesearchaeota_AR18_gwa2_scaffold_1772	GCA_000806155.1	DPANN	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea_DPANN_Woesearchaeota_AR20_gwa2_scaffold_32	GCA_000830315.1	DPANN	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Altiarchaeales_Altiarchaeum_hamiconexum	GCA_001742785.1	Euryarchaeota	5	2	0	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Archaeoglobus_fulgidus_DSM_8774	GCA_000008665.1	Euryarchaeota	15	6	1	4	0	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_Archaeoglobi_Archaeoglobales_Archaeoglobaceae_Ferroglobus_placidus_DSM_10642_chromosome	GCA_000025505.1	Euryarchaeota	12	8	1	7	0	0	0	0	0	0	2	1	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halalkalicoccus_jeotgali_B3_chromosome	GCA_000196895.1	Euryarchaeota	11	4	3	4	3	0	0	0	0	0	0	3	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloarcula_marismortui_ATCC_43049	GCA_000011085.1	Euryarchaeota	12	6	3	2	2	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacteriaceae_archaeon_G22	GCA_000495475.1	Euryarchaeota	9	5	3	0	1	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacterium_sp._NRC_1	GCA_000069025.1	Euryarchaeota	8	1	1	0	0	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halococcus_saccharolyticus_DSM_5350	GCA_000336915.1	Euryarchaeota	10	4	3	0	5	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloferax_mediterranei_R_4_ATCC_33500	GCA_000306765.2	Euryarchaeota	10	4	2	2	0	0	0	0	0	0	0	2	4
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogeometricum_borinquense_DSM_11551_chromosome	GCA_000172995.2	Euryarchaeota	9	2	3	3	0	0	0	0	0	0	0	3	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogranum_salarium_B_1	GCA_000283335.1	Euryarchaeota	12	4	3	4	1	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halomicrobium_mukohataei_DSM_12286	GCA_000023965.1	Euryarchaeota	12	3	2	0	0	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halopiger_xanaduensis_SH_6	GCA_000217715.1	Euryarchaeota	12	6	2	4	0	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloquadratum_walsbyi_HBSQ001_DSM_16790	GCA_000009185.1	Euryarchaeota	10	5	0	0	1	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorhabdus_utahensis_DSM_12940	GCA_000023945.1	Euryarchaeota	8	2	2	0	0	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_lacusprofundi_ATCC_49239	GCA_000022205.1	Euryarchaeota	11	4	2	3	0	0	0	0	0	0	0	2	6
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halosarcina_pallida_JCM_14848	GCA_000337095.1	Euryarchaeota	11	5	6	0	2	0	0	0	0	0	0	2	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halostagnicola_larsenii_XH_48_DSM_176	GCA_000517625.1	Euryarchaeota	12	3	1	6	1	0	0	0	0	0	0	0	4
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloterrigena_turkmenica_DSM_5511	GCA_000025325.1	Euryarchaeota	14	10	4	8	2	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halovivax_ruber_XH_70_DSM_18193	GCA_000328525.1	Euryarchaeota	7	0	1	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrialba_magadii_ATCC_43099_chromosome	GCA_000025625.1	Euryarchaeota	11	0	1	4	0	0	0	0	0	0	0	0	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrinema_pellirubrum_157_JCM_10476	GCA_000230735.3	Euryarchaeota	12	3	4	3	0	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronobacterium_gregoryi_SP2_DSM_3393	GCA_000230715.3	Euryarchaeota	11	6	2	6	0	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronococcus_occultus_SP4_DSM_3396	GCA_000328685.1	Euryarchaeota	11	6	2	4	1	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronolimnobius_innermongolicus_JCM_12255	GCA_000337215.1	Euryarchaeota	12	3	2	4	0	0	0	0	0	0	0	0	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronomonas_pharaonis_Gabara_DSM_2160	GCA_000026045.1	Euryarchaeota	11	4	2	4	0	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronorubrum_sulfidifaciens_JCM_14089	GCA_000337735.1	Euryarchaeota	13	2	2	2	2	0	0	0	0	0	0	2	3
Archaea_Euryarchaeota_Halobacteria_Haloferacales_Haloferacaceae_Halohasta_litchfieldiae_tADL__Hlit_replicon_OLD_NAMEhalophilic_archaeon_sp._True_ADL	GCA_002788215.1	Euryarchaeota	10	1	2	0	1	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Halobacteria_Natrialbales_Natrialbaceae_Salinarchaeum_sp._Harcht_Bsk1	GCA_000403645.1	Euryarchaeota	8	0	2	0	0	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Halobacteria_halophilic_archaeon_sp._DL31__DL31_replicon_1_OLD_NAME_halophilic_archaeon_sp._DL31	GCA_000224475.1	Euryarchaeota	13	2	4	6	1	0	0	0	0	0	0	5	0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobacterium_sp._SWAN_1_chromosome	GCA_000214725.1	Euryarchaeota	14	3	1	0	0	3	0	5	0	0	2	4	0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_smithii_ATCC_35061	GCA_000016525.1	Euryarchaeota	10	3	0	0	0	0	0	2	0	0	3	0	0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanosphaera_stadtmanae_DSM_3091	GCA_000012545.1	Euryarchaeota	3	2	0	0	0	0	0	1	0	0	0	0	0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanothermobacter_thermautotrophicus_Delta_H	GCA_000008645.1	Euryarchaeota	9	5	0	0	0	3	0	3	0	0	2	1	2
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanothermaceae_Methanothermus_fervidus_DSM_2088_chromosome	GCA_000166095.1	Euryarchaeota	8	4	0	0	0	0	0	1	0	0	2	3	0
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanocaldococcus_jannaschii_DSM_2661	GCA_000091665.1	Euryarchaeota	7	1	0	1	0	0	0	1	0	0	0	3	0
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanotorris_igneus_Kol_5_chromosome	GCA_000214415.1	Euryarchaeota	10	5	0	1	0	3	0	3	0	0	3	3	0
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanococcus_maripaludis_S2	GCA_000011585.1	Euryarchaeota	10	5	0	1	0	3	0	3	0	0	9	5	0
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanothermococcus_okinawensis_IH1_chromosome	GCA_000179575.2	Euryarchaeota	8	5	0	1	0	4	0	1	0	0	4	5	0
Archaea_Euryarchaeota_Methanomicrobia_Methanocellales_Methanocellaceae_Methanocella_sp._RC_I_Manual_curation_by_Zhe_Lv	GCA_000011005.1	Euryarchaeota	13	4	2	2	0	0	0	1	1	0	2	1	3
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanocorpusculaceae_Methanocorpusculum_labreanum_Z	GCA_000015765.1	Euryarchaeota	12	4	0	1	0	0	0	4	1	0	0	4	2
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoculleus_bourgensis_MS2	GCA_000304355.2	Euryarchaeota	13	7	0	0	0	0	0	2	1	0	5	5	6
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanofollis_liminatans_GKZPZ_DSM_4140	GCA_000275865.1	Euryarchaeota	11	3	0	1	0	3	0	4	2	0	5	5	2
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoplanus_petrolearius_DSM_11571_chromosome	GCA_000147875.1	Euryarchaeota	11	7	0	0	0	3	0	4	0	0	6	1	0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanoregula_boonei_6A8	GCA_000017625.1	Euryarchaeota	11	3	1	0	0	3	0	4	0	0	4	0	0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanosphaerula_palustris_E1_9c	GCA_000021965.1	Euryarchaeota	16	4	1	1	0	3	0	4	0	0	5	0	2
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanospirillaceae_Methanospirillum_hungatei_JF_1	GCA_000013445.1	Euryarchaeota	16	9	0	1	0	0	0	1	1	0	7	2	3
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosaetaceae_Methanosaeta_thermophila_PT	GCA_000014945.1	Euryarchaeota	11	5	0	1	0	0	0	1	0	0	0	0	3
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanococcoides_burtonii_DSM_6242	GCA_000013725.1	Euryarchaeota	8	2	1	0	0	0	0	1	0	0	3	0	0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalobium_evestigatum_Z_7303_chromosome	GCA_000196655.1	Euryarchaeota	13	2	1	3	0	0	0	1	0	0	0	3	0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalophilus_mahii_DSM_5219_chromosome	GCA_000025865.1	Euryarchaeota	12	2	1	0	0	0	0	1	0	0	3	0	0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanolobus_psychrophilus_R15	GCA_000306725.1	Euryarchaeota	12	3	0	1	0	3	0	3	0	0	3	0	0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanomethylovorans_hollandica_DSM_15978	GCA_000328665.1	Euryarchaeota	12	2	1	1	0	0	0	1	0	0	3	0	0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanosalsum_zhilinae_WeN5_DSM_404017	GCA_000217995.1	Euryarchaeota	11	2	0	1	0	0	0	1	0	0	0	0	3
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_uncultured_Methanosarcinales_sp._ANME_2D_ANME_V10	GCA_000685155.1	Euryarchaeota	13	6	2	3	0	3	0	1	0	0	0	0	3
Archaea_Euryarchaeota_Methanomicrobia_unclassified_Methanomicrobia_Candidatus_Methanomassiliicoccus_intestinalis_Issoire_Mx1	GCA_000404225.1	Euryarchaeota	2	0	0	0	0	0	0	1	0	0	0	0	0
Archaea_Euryarchaeota_Methanopyri_Methanopyrales_Methanopyraceae_Methanopyrus_kandleri_AV19	GCA_000007185.1	Euryarchaeota	6	3	0	0	0	0	0	1	0	0	2	0	0
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Palaeococcus_pacificus_DY20341	GCA_000725425.1	Euryarchaeota	15	2	0	4	0	0	0	0	0	0	0	0	3
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	Euryarchaeota	12	2	0	5	0	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Thermococcus_kodakarensis_KOD1	GCA_000009965.1	Euryarchaeota	10	3	0	4	0	0	0	0	0	0	2	4	0
Archaea_Euryarchaeota_Thermoplasmata_Methanomassiliicoccales_Methanomassiliicoccaceae_Candidatus_Methanomethylophilus_alvus_Mx1201	GCA_000300255.2	Euryarchaeota	3	0	0	0	0	0	0	1	0	0	1	0	0
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Ferroplasmaceae_Ferroplasma_acidarmanus_Fer1	GCA_000152265.2	Euryarchaeota	10	2	1	0	2	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Picrophilaceae_Picrophilus_torridus_DSM_9790	GCA_000008265.1	Euryarchaeota	10	1	1	0	1	0	0	0	0	0	0	0	0
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmataceae_Thermoplasma_acidophilum_DSM_1728	GCA_000195915.1	Euryarchaeota	11	2	1	3	0	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmatales_archaeon_BRNA1	GCA_000350305.1	Euryarchaeota	2	0	0	0	0	0	0	2	0	0	1	0	0
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Aciduliprofundum_boonei_T469_chromosome	GCA_000025665.1	Euryarchaeota	9	2	0	5	0	0	0	0	0	0	0	3	0
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Marine_Group_II_uncultured_marine_group_II_euryarchaeote	GCA_000246735.1	Euryarchaeota	9	1	0	0	1	0	0	0	0	0	0	0	0
Archaea_Hadesarchaea_archaeon_YNP_45	GCA_001515205.2	Hadesarchaea	14	2	1	7	4	0	0	0	0	0	0	0	3
Archaea_Korarchaeota_Candidatus_Korarchaeum_cryptofilum_OPF8	GCA_000019605.1	Korarchaeota	12	1	0	6	0	0	0	0	0	0	0	3	0
Archaea_Nanoarchaeota_Nanoarchaeum_equitans_Kin4_M	GCA_000008085.1	Nanoarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Parvarchaeota_ARMAN_Candidatus_Micrarchaeum_acidiphilum_ARMAN2	GCA_009387755.1	Parvarchaeota	1	0	0	0	1	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_CSP1_1	GCA_001443365.1	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_Cenarchaeales_Cenarchaeaceae_Cenarchaeum_symbiosum_A.	GCA_000200715.1	Thaumarchaeota	4	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Candidatus_Nitrosopumilus_koreensis_AR1	GCA_000299365.1	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Nitrosopumilus_sp._MY1_MY1	GCA_000220175.2	Thaumarchaeota	2	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_Nitrososphaera_viennensis_EN76	GCA_000698785.1	Thaumarchaeota	2	0	0	0	0	0	0	0	0	0	0	0	0
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Candidatus_Caldiarchaeum_subterraneum	GCA_000270325.1	Thaumarchaeota	16	4	2	1	16	0	0	0	0	0	0	3	0
Bacteria_Acidobacteria_RBG_13_Acidobacteria_68_16	GCA_001766905.1	Acidobacteria	3	2	0	0	5	0	0	0	0	0	0	0	0
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_61_28	GCA_001767035.1	Acidobacteria	11	2	8	0	10	0	0	0	0	0	2	0	1
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_65_29	GCA_001767435.1	Acidobacteria	16	6	4	0	8	0	0	0	0	0	3	0	0
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_67_21	GCA_001767195.1	Acidobacteria	14	7	5	0	8	0	0	0	0	0	3	0	0
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_68_18	GCA_001767065.1	Acidobacteria	14	8	6	0	7	0	0	0	0	0	3	0	0
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_65_11	GCA_001767495.1	Acidobacteria	11	3	4	0	3	0	0	0	0	0	3	0	0
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_66_21	GCA_001767455.1	Acidobacteria	16	10	1	1	7	0	0	0	0	0	3	0	1
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_67_14b	GCA_001768615.1	Acidobacteria	15	7	5	2	8	0	0	0	0	0	2	0	1
Bacteria_Actinobacteria_Actinobacteria_Acidimicrobidae_Acidimicrobiales_Acidimicrobineae_Acidimicrobiaceae_Acidimicrobium_ferrooxidans_DSM_10331	GCA_000023265.1	Actinobacteria	11	2	1	0	2	0	0	0	0	0	1	2	0
Bacteria_Actinobacteria_Actinobacteria_Acidimicrobidae_Acidimicrobiales_Acidimicrobineae_Acidimicrobiaceae_Ilumatobacter_coccineum_YM16_304	GCA_000348785.1	Actinobacteria	12	6	2	0	7	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinobaculum_schaalii_CCUG_27420	GCA_000724605.1	Actinobacteria	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinomyces_naeslundii_Howell_279_ATCC_12104	GCA_000285995.1	Actinobacteria	10	1	1	0	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinomyces_sp._oral_taxon_170_str._F0386	GCA_000195595.1	Actinobacteria	12	1	1	0	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Arcanobacterium_haemolyticum_DSM_20595	GCA_000092365.1	Actinobacteria	10	1	0	0	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_MobiluncusFalcivibrio_group_Mobiluncus_curtisii_ATCC_43063	GCA_000196535.1	Actinobacteria	8	2	0	0	0	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Trueperella_pyogenes_TP6375	GCA_000612055.1	Actinobacteria	10	1	0	0	0	0	0	0	0	0	2	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Catenulisporineae_Actinospicaceae_Actinospica_robiniae_DSM_44927	GCA_000504285.1	Actinobacteria	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Catenulisporineae_Catenulisporaceae_Catenulispora_acidiphila_DSM_44928	GCA_000024025.1	Actinobacteria	19	7	7	0	4	0	0	0	0	0	1	1	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Corynebacteriaceae_Corynebacterium_argentoratense_DSM_44202	GCA_000590555.1	Actinobacteria	5	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Dietziaceae_Dietzia_cinnamea_P4_contig00104	GCA_000186325.2	Actinobacteria	13	6	2	0	1	0	0	0	0	0	4	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Mycobacteriaceae_Amycolicicoccus_subflavus_DQS3_9A1	GCA_000214175.1	Actinobacteria	13	6	1	0	1	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Mycobacteriaceae_Mycobacterium_abscessus_bolletii_50594	GCA_000445035.1	Actinobacteria	15	6	3	0	1	0	0	0	0	0	4	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Nocardiaceae_Nocardia_brasiliensis_ATCC_700358	GCA_000250675.3	Actinobacteria	14	12	4	0	3	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Nocardiaceae_Rhodococcus_sp._BCP1	GCA_000470885.1	Actinobacteria	11	9	1	0	4	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Segniliparaceae_Segniliparus_rotundus_DSM_44985	GCA_000092825.1	Actinobacteria	11	2	0	0	1	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Tsukamurellaceae_Tsukamurella_paurometabola_DSM_20162	GCA_000092225.1	Actinobacteria	15	3	0	0	1	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Acidothermaceae_Acidothermus_cellulolyticus_11B	GCA_000015025.1	Actinobacteria	12	4	1	0	2	0	0	0	0	0	3	0	0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Cryptosporangiaceae_Cryptosporangium_arvum_YU_629_21_DSM_44712	GCA_000585375.1	Actinobacteria	6	1	5	0	4	0	0	0	0	0	3	0	0
