ko_number	description	group_lvl1	group_lvl2	reaction	reaction_name
K07147	msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	so_fam_a	msr		
K10534	NR; nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]	so_fam_a	nr_euk		
K05301	sorA; sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]	so_fam_a	sor		
K00387	SUOX; sulfite oxidase [EC:1.8.3.1]	so_fam_a	suox		
K17225	soxC; sulfane dehydrogenase subunit SoxC	so_fam_a	sox		
K03738	aor; aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	aor_fam	aor		
K11389	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	aor_fam	gapor		
K19515	bamB; benzoyl-CoA reductase subunit BamB [EC:1.3.-.-]	aor_fam	bam		
K00157	AOX; aldehyde oxidase [EC:1.2.3.1]	xo_fam_c	aox_aldehyde		
K09842	AAO3; abscisic-aldehyde oxidase [EC:1.2.3.14]	xo_fam_c	aao1		
K12528	xdhD; putative selenate reductase molybdopterin-binding subunit	xo_fam_c	xdh_sel		
K03520	"coxL, cutL; aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]"	xo_fam_c	cox_cut		
K11817	AAO1_2; indole-3-acetaldehyde oxidase [EC:1.2.3.7]	xo_fam_c	aao3		
K22417	AAO4; benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]	xo_fam_c	aao4		
K04108	"hcrA, hbaC; 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]"	xo_fam_c	hcr_hba		
K24716	atcA; 3-oxo-Delta1-steroid hydratase/dehydrogenase large subunit [EC:1.17.99.11]	xo_fam_c	atc		
K16877	hmfA; 2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]	xo_fam_c	hmf		
K19187	kdhL; 6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]	xo_fam_c	kdh		
K18020	cutA; glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]	xo_fam_c	cut		
K19820	ndhC; nicotine dehydrogenase subunit C [EC:1.5.99.4]	xo_fam_c	ndh_nicotine		
K20171	spmA; 3-succinoylpyridine monooxygenase subunit A	xo_fam_c	spm		
K07303	iorB; isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]	xo_fam_c	ior		
K07469	mop; aldehyde oxidoreductase [EC:1.2.99.7]	xo_fam_c	mop		
K20447	ndhL; nicotinate dehydrogenase large molybdopterin subunit [EC:1.17.1.5]	xo_fam_c	ndh		
K20448	ndhM; nicotinate dehydrogenase medium molybdopterin subunit [EC:1.17.1.5]	xo_fam_c	ndh_nicotinate		
K13482	xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]	xo_fam_c	xdh		
K00106	XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]	xo_fam_c	xdh_euk		
K11177	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]	xo_fam_c	yag		
K00087	"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"	xo_fam_c	yge_xdh		
K18030	nicB; nicotinate dehydrogenase subunit B [EC:1.17.2.1]	xo_fam_c	nic		
K02588	nifH; nitrogenase iron protein NifH	mo_n_fix	mo_n_fix		
K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	mo_n_fix	mo_n_fix		
K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	mo_n_fix	mo_n_fix		
K22896	vnfD; vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	alt_n_fix	alt_n_fix		
K22897	vnfK; vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	alt_n_fix	alt_n_fix		
K22898	vnfG; vanadium nitrogenase delta subunit [EC:1.18.6.2]	alt_n_fix	alt_n_fix		
K22899	vnfH; vanadium nitrogenase iron protein	alt_n_fix	alt_n_fix		
K00531	anfG; nitrogenase delta subunit [EC:1.18.6.1]	alt_n_fix	alt_n_fix		
K02587	nifE; nitrogenase molybdenum-cofactor synthesis protein NifE	femoco_synthesis	femoco_synthesis		
K02592	nifN; nitrogenase molybdenum-iron protein NifN	femoco_synthesis	femoco_synthesis		
K02585	nifB; nitrogen fixation protein NifB	femoco_synthesis	femoco_synthesis		
K00947	mosAB; molybdenum storage protein	mo_storage	mo_storage		
K15790	nifQ; nitrogen fixation protein NifQ	mo_traffick	mo_traffick		
K02018	modB; molybdate transport system permease protein	mo_transport	mo_transport		
K02017	modC; molybdate transport system ATP-binding protein [EC:7.3.2.5]	mo_transport	mo_transport		
K02020	modA; molybdate transport system substrate-binding protein	mo_transport	mo_transport		
K15496	wtpB; molybdate/tungstate transport system permease protein	mo_w_transport	mo_w_transport		
K15497	wtpC; molybdate/tungstate transport system ATP-binding protein [EC:7.3.2.5 7.3.2.6]	mo_w_transport	mo_w_transport		
K15495	wtpA; molybdate/tungstate transport system substrate-binding protein	mo_w_transport	mo_w_transport		
K05773	"tupB, vupB; tungstate transport system permease protein"	w_transport	w_transport		
K06857	"tupC, vupC; tungstate transport system ATP-binding protein [EC:7.3.2.6]"	w_transport	w_transport		
K05772	"tupA, vupA; tungstate transport system substrate-binding protein"	w_transport	w_transport		
