genome_name	genome	taxonomy	temperature	oxygen	pH	habitat	habitat_diversity
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halobacterium_sp._NRC_1	GCA_000069025.1	Euryarchaeota	36.47047579	anaerobe	6.244519	Terrestrial	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halococcus_saccharolyticus_DSM_5350	GCA_000336915.1	Euryarchaeota	35.31423244	anaerobe	7.0362887		
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloferax_mediterranei_R_4_ATCC_33500	GCA_000306765.2	Euryarchaeota	35.26346341	anaerobe	6.796364	Terrestrial	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogeometricum_borinquense_DSM_11551_chromosome	GCA_000172995.2	Euryarchaeota	37.66702406	anaerobe	6.301352	Saline	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halogranum_salarium_B_1	GCA_000283335.1	Euryarchaeota	33.51807161	anaerobe	6.122737	Saline	1.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halomicrobium_mukohataei_DSM_12286	GCA_000023965.1	Euryarchaeota	41.1023917	anaerobe	6.141068	Terrestrial	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halopiger_xanaduensis_SH_6	GCA_000217715.1	Euryarchaeota	39.36252863	anaerobe	6.7990146	Terrestrial	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloquadratum_walsbyi_HBSQ001_DSM_16790	GCA_000009185.1	Euryarchaeota	38.01734594	anaerobe	5.780876	Saline	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorhabdus_utahensis_DSM_12940	GCA_000023945.1	Euryarchaeota	36.69559599	anaerobe	6.877782	Terrestrial	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halorubrum_lacusprofundi_ATCC_49239	GCA_000022205.1	Euryarchaeota	36.85470186	anaerobe	6.405564	Saline	5.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halosarcina_pallida_JCM_14848	GCA_000337095.1	Euryarchaeota	36.10770635	anaerobe	6.1431212		
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halostagnicola_larsenii_XH_48_DSM_176	GCA_000517625.1	Euryarchaeota	37.25445995	aerobe	6.709427	Terrestrial	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Haloterrigena_turkmenica_DSM_5511	GCA_000025325.1	Euryarchaeota	36.62269997	aerobe	6.2751427	Terrestrial	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Halovivax_ruber_XH_70_DSM_18193	GCA_000328525.1	Euryarchaeota	35.14447224	anaerobe	5.575538	Terrestrial	2.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrialba_magadii_ATCC_43099_chromosome	GCA_000025625.1	Euryarchaeota	35.98461088	anaerobe	6.7284737	Terrestrial	3.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natrinema_pellirubrum_157_JCM_10476	GCA_000230735.3	Euryarchaeota	35.55877452	anaerobe	6.014132	Terrestrial	4.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronobacterium_gregoryi_SP2_DSM_3393	GCA_000230715.3	Euryarchaeota	37.77889624	anaerobe	6.537549	Terrestrial	2.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronococcus_occultus_SP4_DSM_3396	GCA_000328685.1	Euryarchaeota	35.59145884	anaerobe	6.669827	Terrestrial	2.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronolimnobius_innermongolicus_JCM_12255	GCA_000337215.1	Euryarchaeota	37.16269481	anaerobe	6.7977242		
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronomonas_pharaonis_Gabara_DSM_2160	GCA_000026045.1	Euryarchaeota	35.57039953	anaerobe	5.971495	Terrestrial	7.0
Archaea_Euryarchaeota_Halobacteria_Halobacteriales_Halobacteriaceae_Natronorubrum_sulfidifaciens_JCM_14089	GCA_000337735.1	Euryarchaeota	35.32429005	anaerobe	5.1061897		
Archaea_Euryarchaeota_Halobacteria_Haloferacales_Haloferacaceae_Halohasta_litchfieldiae_tADL__Hlit_replicon_OLD_NAMEhalophilic_archaeon_sp._True_ADL	GCA_002788215.1	Euryarchaeota	35.26021435	anaerobe	6.681319	Freshwater	3.0
Archaea_Euryarchaeota_Halobacteria_Natrialbales_Natrialbaceae_Salinarchaeum_sp._Harcht_Bsk1	GCA_000403645.1	Euryarchaeota	35.06507547	anaerobe	6.286021	Terrestrial	2.0
Archaea_Euryarchaeota_Halobacteria_halophilic_archaeon_sp._DL31__DL31_replicon_1_OLD_NAME_halophilic_archaeon_sp._DL31	GCA_000224475.1	Euryarchaeota	37.04094701	anaerobe	6.141193	Freshwater	3.0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobacterium_sp._SWAN_1_chromosome	GCA_000214725.1	Euryarchaeota	39.82037545	anaerobe	7.1872096	Terrestrial	12.0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanobrevibacter_smithii_ATCC_35061	GCA_000016525.1	Euryarchaeota	34.05269759	anaerobe	5.8882594	Host-associated	8.0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanosphaera_stadtmanae_DSM_3091	GCA_000012545.1	Euryarchaeota	36.91191732	anaerobe	6.391266	Host-associated	1.0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_Methanothermobacter_thermautotrophicus_Delta_H	GCA_000008645.1	Euryarchaeota	55.87388856	anaerobe	6.5014896	Engineered	3.0
Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanothermaceae_Methanothermus_fervidus_DSM_2088_chromosome	GCA_000166095.1	Euryarchaeota	81.35544878	anaerobe	6.196816		
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanocaldococcus_jannaschii_DSM_2661	GCA_000091665.1	Euryarchaeota	77.57313168	anaerobe	6.386644		
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanocaldococcaceae_Methanotorris_igneus_Kol_5_chromosome	GCA_000214415.1	Euryarchaeota	80.67051298	anaerobe	6.454523		
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanococcus_maripaludis_S2	GCA_000011585.1	Euryarchaeota	52.8165954	anaerobe	7.3159637		
Archaea_Euryarchaeota_Methanococci_Methanococcales_Methanococcaceae_Methanothermococcus_okinawensis_IH1_chromosome	GCA_000179575.2	Euryarchaeota	58.08891057	anaerobe	6.922519		
Archaea_Euryarchaeota_Methanomicrobia_Methanocellales_Methanocellaceae_Methanocella_sp._RC_I_Manual_curation_by_Zhe_Lv	GCA_000011005.1	Euryarchaeota	38.27907688	anaerobe	6.012321	Terrestrial	3.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanocorpusculaceae_Methanocorpusculum_labreanum_Z	GCA_000015765.1	Euryarchaeota	29.29097522	anaerobe	6.779784	Engineered	4.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoculleus_bourgensis_MS2	GCA_000304355.2	Euryarchaeota	42.65552457	anaerobe	6.345979	Engineered	10.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanofollis_liminatans_GKZPZ_DSM_4140	GCA_000275865.1	Euryarchaeota	40.63318337	anaerobe	6.488933	Engineered	8.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanomicrobiaceae_Methanoplanus_petrolearius_DSM_11571_chromosome	GCA_000147875.1	Euryarchaeota	38.62116907	anaerobe	6.447162	Engineered	7.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanoregula_boonei_6A8	GCA_000017625.1	Euryarchaeota	34.21212869	anaerobe	7.5592804	Terrestrial	13.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanoregulaceae_Candidatus_Methanosphaerula_palustris_E1_9c	GCA_000021965.1	Euryarchaeota	29.61869209	anaerobe	6.1382313	Engineered	13.0
Archaea_Euryarchaeota_Methanomicrobia_Methanomicrobiales_Methanospirillaceae_Methanospirillum_hungatei_JF_1	GCA_000013445.1	Euryarchaeota	35.22208793	anaerobe	6.4085565	Engineered	7.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosaetaceae_Methanosaeta_thermophila_PT	GCA_000014945.1	Euryarchaeota	55.01393679	anaerobe	6.05347	Engineered	9.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanococcoides_burtonii_DSM_6242	GCA_000013725.1	Euryarchaeota	28.37139364	anaerobe	6.1158295	Marine	2.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalobium_evestigatum_Z_7303_chromosome	GCA_000196655.1	Euryarchaeota	43.54346813	anaerobe	5.964655		
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanohalophilus_mahii_DSM_5219_chromosome	GCA_000025865.1	Euryarchaeota	35.64438394	anaerobe	6.4107485	Saline	3.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanolobus_psychrophilus_R15	GCA_000306725.1	Euryarchaeota	32.46673298	anaerobe	5.946608	Saline	2.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanomethylovorans_hollandica_DSM_15978	GCA_000328665.1	Euryarchaeota	34.14318642	anaerobe	6.2638216	Saline	5.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_Methanosarcinaceae_Methanosalsum_zhilinae_WeN5_DSM_404017	GCA_000217995.1	Euryarchaeota	42.45278058	anaerobe	6.658825	Hydrothermal	2.0
Archaea_Euryarchaeota_Methanomicrobia_Methanosarcinales_uncultured_Methanosarcinales_sp._ANME_2D_ANME_V10	GCA_000685155.1	Euryarchaeota	49.73146812	anaerobe	7.3020496	Freshwater	5.0
Archaea_Euryarchaeota_Methanomicrobia_unclassified_Methanomicrobia_Candidatus_Methanomassiliicoccus_intestinalis_Issoire_Mx1	GCA_000404225.1	Euryarchaeota	36.11691538	anaerobe	6.341861	Saline	4.0
Archaea_Euryarchaeota_Methanopyri_Methanopyrales_Methanopyraceae_Methanopyrus_kandleri_AV19	GCA_000007185.1	Euryarchaeota	97.77331287	anaerobe	5.7970057		
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Palaeococcus_pacificus_DY20341	GCA_000725425.1	Euryarchaeota	75.3118069	anaerobe	5.6377354	Hydrothermal	2.0
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Pyrococcus_furiosus_DSM_3638	GCA_000007305.1	Euryarchaeota	91.81112621	anaerobe	6.302525	Hydrothermal	1.0
Archaea_Euryarchaeota_Thermococci_Thermococcales_Thermococcaceae_Thermococcus_kodakarensis_KOD1	GCA_000009965.1	Euryarchaeota	82.19696318	anaerobe	6.0265903	Hydrothermal	2.0
Archaea_Euryarchaeota_Thermoplasmata_Methanomassiliicoccales_Methanomassiliicoccaceae_Candidatus_Methanomethylophilus_alvus_Mx1201	GCA_000300255.2	Euryarchaeota	27.99530168	anaerobe	6.673508	Host-associated	1.0
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Ferroplasmaceae_Ferroplasma_acidarmanus_Fer1	GCA_000152265.2	Euryarchaeota	44.99439092	anaerobe	5.977023		
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Picrophilaceae_Picrophilus_torridus_DSM_9790	GCA_000008265.1	Euryarchaeota	57.32992912	anaerobe	6.794582		
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmataceae_Thermoplasma_acidophilum_DSM_1728	GCA_000195915.1	Euryarchaeota	56.85927594	anaerobe	6.4352293		
Archaea_Euryarchaeota_Thermoplasmata_Thermoplasmatales_Thermoplasmatales_archaeon_BRNA1	GCA_000350305.1	Euryarchaeota	27.04334538	anaerobe	6.042329	Host-associated	1.0
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Aciduliprofundum_boonei_T469_chromosome	GCA_000025665.1	Euryarchaeota	69.29829246	anaerobe	6.496027	Hydrothermal	1.0
Archaea_Euryarchaeota_unclassified_Euryarchaeota_Marine_Group_II_uncultured_marine_group_II_euryarchaeote	GCA_000246735.1	Euryarchaeota	8.533919299	anaerobe	7.1878133	Saline	5.0
Archaea_Hadesarchaea_archaeon_YNP_45	GCA_001515205.2	Hadesarchaea	68.34816142	anaerobe	6.1327076	Hydrothermal	2.0
Archaea_Korarchaeota_Candidatus_Korarchaeum_cryptofilum_OPF8	GCA_000019605.1	Korarchaeota	82.21315353	anaerobe	6.888991	Hydrothermal	1.0
Archaea_Nanoarchaeota_Nanoarchaeum_equitans_Kin4_M	GCA_000008085.1	Nanoarchaeota	94.94919028	anaerobe	5.5933743		
Archaea_Parvarchaeota_ARMAN_Candidatus_Micrarchaeum_acidiphilum_ARMAN2	GCA_009387755.1	Parvarchaeota	52.45572004	anaerobe	7.0965137		
Archaea_Thaumarchaeota_CSP1_1	GCA_001443365.1	Thaumarchaeota	47.55176289	anaerobe	5.215786		
Archaea_Thaumarchaeota_Cenarchaeales_Cenarchaeaceae_Cenarchaeum_symbiosum_A.	GCA_000200715.1	Thaumarchaeota	39.89361344	anaerobe	6.4252343	Saline	9.0
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Candidatus_Nitrosopumilus_koreensis_AR1	GCA_000299365.1	Thaumarchaeota	44.50181783	anaerobe	6.02114	Saline	11.0
Archaea_Thaumarchaeota_Nitrosopumilales_Nitrosopumilaceae_Nitrosopumilus_sp._MY1_MY1	GCA_000220175.2	Thaumarchaeota	43.18036581	anaerobe	6.7722144		
Archaea_Thaumarchaeota_Nitrososphaerales_Nitrososphaeraceae_Nitrososphaera_viennensis_EN76	GCA_000698785.1	Thaumarchaeota	51.98321447	anaerobe	7.142457	Terrestrial	9.0
Archaea_Thaumarchaeota_unclassified_Thaumarchaeota_Candidatus_Caldiarchaeum_subterraneum	GCA_000270325.1	Thaumarchaeota	71.95721862	anaerobe	5.6906457	Hydrothermal	4.0
Bacteria_Acidobacteria_RBG_13_Acidobacteria_68_16	GCA_001766905.1	Acidobacteria	39.38558312	aerobe	5.8582478	Terrestrial	5.0
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_61_28	GCA_001767035.1	Acidobacteria	38.97776013	aerobe	6.1480217		
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_65_29	GCA_001767435.1	Acidobacteria	34.76818564	aerobe	6.2692056		
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_67_21	GCA_001767195.1	Acidobacteria	38.94756875	aerobe	6.9469376	Terrestrial	3.0
Bacteria_Acidobacteria_RIFCSPLOWO2_02_FULL_Acidobacteria_68_18	GCA_001767065.1	Acidobacteria	40.30590673	aerobe	6.537258		
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_65_11	GCA_001767495.1	Acidobacteria	38.40127881	anaerobe	6.253846	Terrestrial	6.0
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_66_21	GCA_001767455.1	Acidobacteria	36.03614399	aerobe	7.0583262		
Bacteria_Acidobacteria_RIFCSPLOWO2_12_FULL_Acidobacteria_67_14b	GCA_001768615.1	Acidobacteria	35.02073536	aerobe	5.683363		
Bacteria_Actinobacteria_Actinobacteria_Acidimicrobidae_Acidimicrobiales_Acidimicrobineae_Acidimicrobiaceae_Acidimicrobium_ferrooxidans_DSM_10331	GCA_000023265.1	Actinobacteria	37.4236548	anaerobe	5.9191456	Terrestrial	7.0
Bacteria_Actinobacteria_Actinobacteria_Acidimicrobidae_Acidimicrobiales_Acidimicrobineae_Acidimicrobiaceae_Ilumatobacter_coccineum_YM16_304	GCA_000348785.1	Actinobacteria	23.22379195	aerobe	6.24969	Freshwater	18.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinobaculum_schaalii_CCUG_27420	GCA_000724605.1	Actinobacteria	31.68667013	anaerobe	5.616358	Host-associated	3.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinomyces_naeslundii_Howell_279_ATCC_12104	GCA_000285995.1	Actinobacteria	32.25868996	anaerobe	6.401249	Host-associated	7.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Actinomyces_sp._oral_taxon_170_str._F0386	GCA_000195595.1	Actinobacteria	31.7892787	anaerobe	6.732744	Host-associated	7.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Arcanobacterium_haemolyticum_DSM_20595	GCA_000092365.1	Actinobacteria	33.59939353	anaerobe	6.122978	Engineered	4.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_MobiluncusFalcivibrio_group_Mobiluncus_curtisii_ATCC_43063	GCA_000196535.1	Actinobacteria	32.14432249	anaerobe	6.4082565		
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Actinomycineae_Actinomycetaceae_Trueperella_pyogenes_TP6375	GCA_000612055.1	Actinobacteria	35.0226412	anaerobe	6.1781926	Engineered	4.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Catenulisporineae_Actinospicaceae_Actinospica_robiniae_DSM_44927	GCA_000504285.1	Actinobacteria	27.23013047	anaerobe	5.3727045		
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Catenulisporineae_Catenulisporaceae_Catenulispora_acidiphila_DSM_44928	GCA_000024025.1	Actinobacteria	25.89821257	aerobe	5.840097	Terrestrial	18.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Corynebacteriaceae_Corynebacterium_argentoratense_DSM_44202	GCA_000590555.1	Actinobacteria	34.67896129	aerobe	5.9654074	Host-associated	17.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Dietziaceae_Dietzia_cinnamea_P4_contig00104	GCA_000186325.2	Actinobacteria	29.69233577	aerobe	6.3537364	Freshwater	4.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Mycobacteriaceae_Amycolicicoccus_subflavus_DQS3_9A1	GCA_000214175.1	Actinobacteria	31.07427314	aerobe	5.931015	Terrestrial	15.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Mycobacteriaceae_Mycobacterium_abscessus_bolletii_50594	GCA_000445035.1	Actinobacteria	33.54648788	aerobe	5.428771	Terrestrial	16.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Nocardiaceae_Nocardia_brasiliensis_ATCC_700358	GCA_000250675.3	Actinobacteria	33.25570361	aerobe	6.3030806	Terrestrial	19.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Nocardiaceae_Rhodococcus_sp._BCP1	GCA_000470885.1	Actinobacteria	32.67709712	aerobe	6.956788	Terrestrial	22.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Segniliparaceae_Segniliparus_rotundus_DSM_44985	GCA_000092825.1	Actinobacteria	35.43843891	aerobe	5.6056194	Plant	22.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Corynebacterineae_Tsukamurellaceae_Tsukamurella_paurometabola_DSM_20162	GCA_000092225.1	Actinobacteria	31.87948297	aerobe	5.956261	Terrestrial	20.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Acidothermaceae_Acidothermus_cellulolyticus_11B	GCA_000015025.1	Actinobacteria	42.38885703	anaerobe	6.0407743	Terrestrial	13.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Cryptosporangiaceae_Cryptosporangium_arvum_YU_629_21_DSM_44712	GCA_000585375.1	Actinobacteria	30.26153394	aerobe	6.2434034	Terrestrial	16.0
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Frankiaceae_Frankia_alni_ACN14a	GCA_000058485.1	Actinobacteria	29.01582947	aerobe	6.225996		
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Geodermatophilaceae_Blastococcus_saxobsidens_DD2	GCA_000284015.1	Actinobacteria	35.62052205	aerobe	6.010564		
Bacteria_Actinobacteria_Actinobacteria_Actinobacteridae_Actinomycetales_Frankineae_Geodermatophilaceae_Geodermatophilus_obscurus_DSM_43160	GCA_000025345.1	Actinobacteria	38.15486865	aerobe	6.6149206	Terrestrial	15.0
